City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira brava,32.65,-17.0667,70.72,68,91,7.14,PT,1689557359
1,adamstown,-25.066,-130.1015,69.37,81,100,6.69,PN,1689557359
2,georgetown,5.4112,100.3354,84.13,87,20,2.3,MY,1689557353
3,kununurra,-15.7667,128.7333,82.38,32,5,14.97,AU,1689557360
4,waimea,20.0231,-155.6717,83.01,84,65,4.0,US,1689557360
5,iskateley,67.6803,53.1512,57.99,91,99,6.15,RU,1689557360
6,waitangi,-43.9535,-176.5597,51.82,83,99,5.99,NZ,1689557361
7,lihue,21.9789,-159.3672,83.79,69,100,16.11,US,1689557361
8,argo,37.6333,22.7333,80.78,51,0,4.5,GR,1689557361
9,port lincoln,-34.7333,135.8667,52.83,62,0,8.43,AU,1689557361
10,port elizabeth,-33.918,25.5701,48.49,93,0,4.61,ZA,1689557362
11,hermanus,-34.4187,19.2345,57.33,80,100,7.45,ZA,1689557362
12,bilibino,68.0546,166.4372,81.39,29,95,9.4,RU,1689557362
13,constantia,44.1833,28.65,68.7,67,0,6.69,RO,1689557362
14,happy valley-goose bay,53.3168,-60.3315,75.51,69,75,11.5,CA,1689557362
15,wailua homesteads,22.0669,-159.378,83.19,76,100,16.11,US,1689557363
16,edinburgh of the seven seas,-37.0676,-12.3116,55.47,71,2,28.14,SH,1689557135
17,parkano,62.0167,23.0167,56.23,99,100,7.0,FI,1689557364
18,new norfolk,-42.7826,147.0587,59.92,60,38,10.85,AU,1689557365
19,qaqortoq,60.7167,-46.0333,42.53,95,81,1.19,GL,1689557365
20,horta,38.5333,-28.6333,65.01,81,34,5.99,PT,1689557365
21,necochea,-38.5473,-58.7368,41.5,87,77,9.22,AR,1689557365
22,mount isa,-20.7333,139.5,76.77,41,75,11.5,AU,1689557366
23,barreirinhas,-2.7469,-42.8264,76.37,89,49,6.13,BR,1689557267
24,totness,5.8833,-56.3167,79.99,83,98,9.13,SR,1689557366
25,korsakov,46.6328,142.7813,57.04,89,100,8.08,RU,1689557367
26,longyearbyen,78.2186,15.6401,46.24,71,75,17.27,SJ,1689557367
27,yeppoon,-23.1333,150.7333,76.24,71,60,15.59,AU,1689557367
28,celestun,20.8667,-90.4,82.58,79,7,19.95,MX,1689557368
29,ola,59.5833,151.2833,66.15,80,11,6.53,RU,1689557368
30,klyuchi,52.2667,79.1667,64.31,75,10,8.48,RU,1689557368
31,blackmans bay,-43.0167,147.3167,58.73,59,8,10.42,AU,1689557368
32,torghay,49.6339,63.4981,73.08,40,99,7.14,KZ,1689557369
33,los zacatones,22.95,-102.05,76.6,24,8,17.74,MX,1689557369
34,escarcega,18.6089,-90.7454,92.34,33,94,4.72,MX,1689557369
35,serenje,-13.2325,30.2352,47.61,77,0,5.66,ZM,1689557369
36,grytviken,-54.2811,-36.5092,21.99,86,83,3.8,GS,1689557370
37,cottonwood,34.7392,-112.0099,110.43,12,12,5.01,US,1689557370
38,derbent,42.0678,48.2899,69.75,70,100,3.09,RU,1689557370
39,palmer,42.1584,-72.3287,75.24,85,100,6.91,US,1689557370
